;"Tracker
Existing Subnet
PT Aplikanusa Lintasarta
PT Mastersystem Infotama, Tbk";;;;;;;;;;;;;;;;;;;;;;;;
No;Namespace;Name;CIDR;Provider;VPC;;;;;;;;;;;;;;;;;;;;
138;loft-internal-cloud-la-v-internal-hpc;v313796mcsqkgb;10.168.198.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
139;loft-testing-william-v-testing-william;v314skh6bjt0ck;10.168.106.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
140;loft-la-owlexa--inhealth-v-tim-owlexa;v32g60hdsjkvud;10.168.156.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
141;loft-protergo-cybersecurity-v-idmr;v33x2xgoxlnknk;10.168.212.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
142;loft-cybertechtonic-pratama-v-cbtp;v34f48yvuwuhhk;10.168.123.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
143;loft-baitiy-jannatiy-v-test-demo-rs;v34gvbiqoafael;10.168.65.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
144;loft-l2-jatiluhur-v-l2-labs;v36ouhu23w9lns;10.168.89.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
145;loft-la---mastersystem-infotama-v-showcase-msi;v37f48kcl54rv4;10.168.59.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
146;loft-legal-la-v-legal-la;v37p42tbjp7smn;10.168.221.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
147;loft-ioh-goto-v-goto-production;v381pcdtgjy0fr;10.168.58.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
148;loft-internal-isv-v-sp-isv;v3892yh0sttamc;10.168.73.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
149;loft-pt-nindya-karya-v-private-gpt;v389ngkqzn2opx;10.168.121.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
150;loft-telnusa-intrakom-v-smart-washroom;v38sazkb7075wu;10.168.50.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
151;loft-l2-jatiluhur-v-test-l2;v393knis72o96f;10.168.170.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
152;loft-ai-cloud-engineering-v-dekallm;v39tb3b91e51i4;10.168.109.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
153;loft-accenture-v-accenture-development;v3bafx9ze689ve;10.168.227.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
154;loft-universitas-sumatera-utara-v-ai-ml;v3bulcrpmlnrk2;10.168.182.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
155;loft-l2-jatiluhur-v-latency-monitoring;v3g4ki57u53iq3;10.168.223.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
156;loft-l2-jatiluhur-v-demo-cluster;v3gr4tx5jq9990;10.168.162.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
157;loft-pt-nindya-karya-v-private-gpt;v3hhwcpvztinxg;10.168.1.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
158;loft-pt-indosat-ooredo-hutchison-v-project-tutur;v3i5zlkb29w4es;10.168.53.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
159;loft-ioh-goto-v-goto-production;v3j89sn5xttquj;10.168.236.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
160;loft-l2-jatiluhur-v-test-l2;v3jo8amnvwcd58;10.168.149.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
161;loft-foreplan-v-foreplan-dev;v3lpd3np6mxljx;10.168.148.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
162;loft-otokata-v-otokata;v3nw32249pqhnw;10.168.76.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
163;loft-turner-v-turner-core;v3o3zdisu031p4;10.168.152.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
164;loft-testingprodsme-12122024-v-testing-for-sme-12032025;v3ornfmu4qtu9b;10.168.206.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
165;loft-testlegal-v-test-legal;v3ou2cmbokbiro;10.168.216.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
166;loft-pt-nindya-karya-v-private-gpt;v3p6y5e7qvx3zp;10.168.160.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
167;loft-pt-indonesia-indicator-v-default-project;v3q56n7oq8ijdn;10.168.92.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
168;loft-pt-fpk-v-ai;v3rkgptsxw6s9e;10.168.203.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
169;loft-l2-jatiluhur-v-l2-labs;v3sb5625fexxa4;10.168.139.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
170;loft-ollama-telkom-v-ollama-project;v3u912645tf74q;10.168.230.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
171;loft-ai-cloud-engineering-v-dekallm;v3ur1nylgn8wz4;10.168.17.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
172;loft-jatis-solutions-v-nshandson;v3zvdlc8gp3szb;10.168.193.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
173;loft-ioh-goto-v-goto-project-new;v4229ewvq0xojr;10.168.126.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
